name,extId,x,y,category,puic,prodclass,x_real,y2,join_id,join_name,isInAustria
Wien Laxenburger Straße/Troststraße,107,0,0,0,0,0,16.370534,48.169102,0,0,1
Wien Laxenburger Straße/Raxstraße,108,0,0,0,0,0,16.368269,48.165021,0,0,1
Wien Sibeliusstraße,109,0,0,0,0,0,16.36657,48.158773,0,0,1
Wien Siedlung Blumental,110,0,0,0,0,0,16.361356,48.145523,0,0,1
Wien Hbf (Busbahnhof Südtiroler Platz),105,0,0,0,0,0,16.375326,48.185507,0,0,1
Wien Laxenburger Straße/Heizwerkstraße,111,0,0,0,0,0,16.358767,48.139599,0,0,1
Wien Quellenplatz (Laxenburger Straße),106,0,0,0,0,0,16.373528,48.175628,0,0,1
Wien Laxenburger Straße/Gudrunstraße,170,0,0,0,0,0,16.373735,48.178334,0,0,1
Wien Meidling Bahnhof,340,0,0,0,0,0,16.331926,48.174433,0,0,1
Wien Blumental Bahnhof,341,0,0,0,0,0,16.367721,48.135258,0,0,1
Wien Grillgasse Bahnhof,338,0,0,0,0,0,16.407174,48.166747,0,0,1
Wien Hbf,339,0,0,0,0,0,16.375326,48.185507,0,0,1
Wien Karlsplatz (Nr.1-3),622,0,0,0,0,0,16.369366,48.200663,0,0,1
Wien Matzleinsdorfer Platz (Quellenstraße),623,0,0,0,0,0,16.358723,48.180195,0,0,1
Wien Altdorferstraße,624,0,0,0,0,0,16.349419,48.168689,0,0,1
Wien Triester Straße/Computerstraße,625,0,0,0,0,0,16.342012,48.157677,0,0,1
Wien Matzleinsdorfer Platz (Triester Straße),674,0,0,0,0,0,16.358723,48.180195,0,0,1
Wien Westbahnhof (Felberstraße),669,0,0,0,0,0,16.337607,48.19687,0,0,1
Wien Karlsplatz (Esperantopark),675,0,0,0,0,0,16.369366,48.200663,0,0,1
Wien Rathausplatz/Universität,698,0,0,0,0,0,16.360673,48.210533,0,0,1
Wien Spinnerin am Kreuz,1443,0,0,0,0,0,16.350506,48.170415,0,0,1
Möllersdorf Lokalbahn (Wiener Straße),1517,0,0,0,0,0,16.334353,48.149928,0,0,1
Wien Zentralfriedhof 2.Tor (Simmeringer Hauptstr.),1800,0,0,0,0,0,16.44181,48.154746,0,0,1
Wien Hauptwerkstätte (Simmeringer Hauptstraße),1801,0,0,0,0,0,16.415058,48.17437,0,0,1
Flughafen Wien Busterminal,1791,0,0,0,0,0,16.563596,48.119976,0,0,1
Schwechat Wiener Straße,1802,0,0,0,0,0,16.472616,48.143339,0,0,1
Schwechat B10/Rathausplatz,1803,0,0,0,0,0,16.476131,48.141164,0,0,1
Schwechat Möhringgasse,1804,0,0,0,0,0,16.480257,48.140669,0,0,1
Wien Simmering Bahnhof (Simmeringer Platz),1799,0,0,0,0,0,16.419687,48.170226,0,0,1
Schwechat Bahnhof (Busbahnhof),1805,0,0,0,0,0,16.482162,48.142755,0,0,1
Schwechat Rotes Kreuz,1806,0,0,0,0,0,16.485147,48.139878,0,0,1
