09:32:35,490 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/915888/638278/503416/53588/181
09:32:37,662 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/547680/515738/366540/710/181
09:32:41,449 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/996069/665345/356714/153666/181
09:32:51,142 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/286425/480215/35684/77633/181
09:32:51,402 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/927831/694017/408824/104866/181
09:32:57,751 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/787668/647344/406312/59400/181
09:32:57,823 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/874467/676277/932908/174966/181
09:32:59,922 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/697878/582500/927024/230886/181
09:33:02,57 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/915888/646081/503416/53588/181
09:33:02,652 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/286425/436290/35684/77633/181
09:33:02,728 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/927831/650107/408824/104865/181
09:33:08,816 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/915888/692669/503416/53588/181
09:33:08,879 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/716277/626132/773650/148067/181
09:33:08,952 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/286425/482922/35684/77633/181
09:33:09,25 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/927831/696767/408824/104865/181
09:33:09,473 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/563484/547802/803704/214024/181
09:33:09,578 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/547680/542534/366540/711/181
09:33:09,647 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/154899/411607/179560/38149/181
09:33:09,765 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/371118/483680/10562/118428/181
09:33:09,838 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/787668/622546/406312/59400/181
09:33:09,909 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/874467/651479/932908/174966/181
09:33:09,989 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/67173/382381/446838/201030/181
09:33:10,58 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/996069/692024/356714/153666/181
09:33:10,126 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/110811/396938/32264/20806/181
09:33:10,206 root ERROR traffic day is list ['\n', '\n', '\n', '\n'] http://fahrplan.oebb.at/bin/traininfo.exe/dn/944811/675000/273306/178284/181
